,komentar,score,value,,jika score,maka,,,,,,komentar,score,value
37,"Belakangan ini classroomnya suka eror, semenjak di update jadi ga bisa ngirim tugas mana tenggatnya mepet banget lagi. Pliss...perbaiki lagii...aku mau ngirim tugasnya susah banget, masa harus japri terus ke guru mapelnya kan gaenak takut ganggu gurunya. Jadi pliss..perbaiki lagi 🙏🙏🙏😭😭 masa ada tulisan ""anda tidak dapat mengirim tugas saat ini"". Udah capek capek ngerjain kagak bisa dikirim, gimana ceritanya...mohon diperbaiki lagi dongg ...kasian yang lain juga mau ngirim tugasnya susah",1,NEGATIVE,,,,,,,,37,"Belakangan ini classroomnya suka eror, semenjak di update jadi ga bisa ngirim tugas mana tenggatnya mepet banget lagi. Pliss...perbaiki lagii...aku mau ngirim tugasnya susah banget, masa harus japri terus ke guru mapelnya kan gaenak takut ganggu gurunya. Jadi pliss..perbaiki lagi 🙏🙏🙏😭😭 masa ada tulisan ""anda tidak dapat mengirim tugas saat ini"". Udah capek capek ngerjain kagak bisa dikirim, gimana ceritanya...mohon diperbaiki lagi dongg ...kasian yang lain juga mau ngirim tugasnya susah",1,NEGATIVE
38,Tingkatan lagi 👍,5,POSITIVE,,,,,,,,38,Tingkatan lagi 👍,5,POSITIVE
39,"Woy developer knp sih selalu ada notif tugas dari guru?, itu sangat mengganggu dan meresahkan tolong segera di perbaiki/fix",5,POSITIVE,,,,,,,,39,"Woy developer knp sih selalu ada notif tugas dari guru?, itu sangat mengganggu dan meresahkan tolong segera di perbaiki/fix",5,POSITIVE
40,"Aplikasi terjelek yang pernah saya tahu. Untuk upload file amat sangat lambat bahkan tidak jarang tertutup sendiri aplikasinya karena nggak bisa-bisa kirim file. Saya kirim video via WA cuma 2 menit uploadnya, lewat aplikasi ini sudah 2 jam lebih masih tidak bisa terupload. Kalau nggak terpaksa karena anak saya sekolah pakai aplikasi ini, nggak bakalan saya mau buka/pakai aplikasi ini. Mau tanya, apa ada aplikasi yang lebih jelek dari aplikasi ini??????????",1,NEGATIVE,,,,,,,,40,"Aplikasi terjelek yang pernah saya tahu. Untuk upload file amat sangat lambat bahkan tidak jarang tertutup sendiri aplikasinya karena nggak bisa-bisa kirim file. Saya kirim video via WA cuma 2 menit uploadnya, lewat aplikasi ini sudah 2 jam lebih masih tidak bisa terupload. Kalau nggak terpaksa karena anak saya sekolah pakai aplikasi ini, nggak bakalan saya mau buka/pakai aplikasi ini. Mau tanya, apa ada aplikasi yang lebih jelek dari aplikasi ini??????????",1,NEGATIVE
41,Kurang menarik,5,POSITIVE,,,,,,,,41,Kurang menarik,5,POSITIVE
42,"Sumpah lemot banget, padahal jaringan bagus, tapi di pake buat ngirim tugas loading lama banget... Tolong diperbaiki lagi y",1,NEGATIVE,,,,,,,,42,"Sumpah lemot banget, padahal jaringan bagus, tapi di pake buat ngirim tugas loading lama banget... Tolong diperbaiki lagi y",1,NEGATIVE
43,"Semakin membingungkan...!!!! Aplikasinya bikin kita menyebut berbagai nama binatang!!! Buat kepala pusing!! Udah updete kepikir untuk cepet2 eh mlh sdh updete kelas yang diikuti hilang semuaa! Ketika akan mau bergabung lagi, eh malah tulisan gak jelas! Seperti pengajar belum membagikan tugas lah, apa lah. Padahal sebelumnya baik2 saja sebelum updete, nyesel sumpah.",1,NEGATIVE,,,,,,,,43,"Semakin membingungkan...!!!! Aplikasinya bikin kita menyebut berbagai nama binatang!!! Buat kepala pusing!! Udah updete kepikir untuk cepet2 eh mlh sdh updete kelas yang diikuti hilang semuaa! Ketika akan mau bergabung lagi, eh malah tulisan gak jelas! Seperti pengajar belum membagikan tugas lah, apa lah. Padahal sebelumnya baik2 saja sebelum updete, nyesel sumpah.",1,NEGATIVE
44,Aplikasi ini sangat membantu saya📚,5,POSITIVE,,,,,,,,44,Aplikasi ini sangat membantu saya📚,5,POSITIVE
45,Cukup membantu,4,POSITIVE,,,,,,,,45,Cukup membantu,4,POSITIVE
46,Gak Tau Kenapa,1,NEGATIVE,,,,,,,,46,Gak Tau Kenapa,1,NEGATIVE
47,Tugas oh tugas,1,NEGATIVE,,,,,,,,47,Tugas oh tugas,1,NEGATIVE
48,Mudah d mengerti,5,POSITIVE,,,,,,,,48,Mudah d mengerti,5,POSITIVE
49,Tau lah kenapa,1,NEGATIVE,,,,,,,,49,Tau lah kenapa,1,NEGATIVE
50,Buriq ajg setiap bangun notip tugas mulu Kon tolong di hapus bug nya ya ngen,1,NEGATIVE,,,,,,,,50,Buriq ajg setiap bangun notip tugas mulu Kon tolong di hapus bug nya ya ngen,1,NEGATIVE
51,"Aplikasinya bagus. namun masih banyak bug nya seperti kadang muncul notifikasi tugas, padahal aplikasi tidak di pakai sama sekali namun banyak notifikasi tugas yang muncul dan membuat kesal. Mohon di benarkan bug nya agar tidak muncul notifikasi tugas lagi, saya kasih bintang dua dulu, kalo sudah tidak ada notifikasi tugas lagi saya berikan bintang lima.",2,NEGATIVE,,,,,,,,51,"Aplikasinya bagus. namun masih banyak bug nya seperti kadang muncul notifikasi tugas, padahal aplikasi tidak di pakai sama sekali namun banyak notifikasi tugas yang muncul dan membuat kesal. Mohon di benarkan bug nya agar tidak muncul notifikasi tugas lagi, saya kasih bintang dua dulu, kalo sudah tidak ada notifikasi tugas lagi saya berikan bintang lima.",2,NEGATIVE
52,"Aplikasi ini sangat bagus dan bisa membuat berkembang dalam suatu pelajaran dan dapat berkomunikasi dengan baik. Saya dengan senang hati sekaligus menghibur para pelajar , saya hanya ingin memastikan bahwa kalau apk sangat membantu dalam meningkatkan prestasi belajar .. Terimakasih kepada yang membuat kan apk ini . Untuk para siswa SEKALIAN sebaiknya kalian segera mendownload apk ini . Jangan Ragu ketika tidak ada yg menerimanya.. Semoga beruntung . ;) . Selamat belajar:)",5,POSITIVE,,,,,,,,52,"Aplikasi ini sangat bagus dan bisa membuat berkembang dalam suatu pelajaran dan dapat berkomunikasi dengan baik. Saya dengan senang hati sekaligus menghibur para pelajar , saya hanya ingin memastikan bahwa kalau apk sangat membantu dalam meningkatkan prestasi belajar .. Terimakasih kepada yang membuat kan apk ini . Untuk para siswa SEKALIAN sebaiknya kalian segera mendownload apk ini . Jangan Ragu ketika tidak ada yg menerimanya.. Semoga beruntung . ;) . Selamat belajar:)",5,POSITIVE
53,Cape gw di spam ama guru dri apk ini asw lah,1,NEGATIVE,,,,,,,,53,Cape gw di spam ama guru dri apk ini asw lah,1,NEGATIVE
54,Kenapa selalu waktu saya sedang santai tiba tiba muncul notifikasi tugas. Semoga cepat di perbaiki bug ini agar guru saya tidak mengirimkan tugas lagi,1,NEGATIVE,,,,,,,,54,Kenapa selalu waktu saya sedang santai tiba tiba muncul notifikasi tugas. Semoga cepat di perbaiki bug ini agar guru saya tidak mengirimkan tugas lagi,1,NEGATIVE
55,Guru Stress ngasih Tugas ga ngotack bunyi notif mulu aowkwkkwk,5,POSITIVE,,,,,,,,55,Guru Stress ngasih Tugas ga ngotack bunyi notif mulu aowkwkkwk,5,POSITIVE
56,Bagus bgt gcrnnya sya jadi sukaaaa,5,POSITIVE,,,,,,,,56,Bagus bgt gcrnnya sya jadi sukaaaa,5,POSITIVE
57,"Terimakasih banyak atas aplikasi nya, ini sangat membantu pembelajaran saya terlebih lagi saat ini pembelajaran daring,, Terimakasih sekali lagi 😊🙏",5,POSITIVE,,,,,,,,57,"Terimakasih banyak atas aplikasi nya, ini sangat membantu pembelajaran saya terlebih lagi saat ini pembelajaran daring,, Terimakasih sekali lagi 😊🙏",5,POSITIVE
58,tll banyak tugas,1,NEGATIVE,,,,,,,,58,tll banyak tugas,1,NEGATIVE
59,Assalamualaikum...perkenalkan saya Aghnia saya menggunakan apk ini untuk belajar kls 7 (SMP) apknya sangat bagus!!!dan membantu saya lebih mudah untuk belajar online di masa pandemi saat ini...terimakasih...sukses selalu untuk GOOGLE KELAS...🙏🙏🙏💐💐💐,5,POSITIVE,,,,,,,,59,Assalamualaikum...perkenalkan saya Aghnia saya menggunakan apk ini untuk belajar kls 7 (SMP) apknya sangat bagus!!!dan membantu saya lebih mudah untuk belajar online di masa pandemi saat ini...terimakasih...sukses selalu untuk GOOGLE KELAS...🙏🙏🙏💐💐💐,5,POSITIVE
60,Nambah pikiran,1,NEGATIVE,,,,,,,,60,Nambah pikiran,1,NEGATIVE
61,Aplikasi keramat,1,NEGATIVE,,,,,,,,61,Aplikasi keramat,1,NEGATIVE
62,Apknya bagus Bisa liat brainly ehe,5,POSITIVE,,,,,,,,62,Apknya bagus Bisa liat brainly ehe,5,POSITIVE
63,"Terimakasih sudah menyediakan aplikasi ini untuk kami belajar. Tolong di tanggapi ya GC. Untuk saat membuka pelajaran yang ada, tolong di beri nama guru / akun yang memberi tugas tersebut. Semisal Ada tugas Matematika yang di kirim ke kelas, saat di muncul tugas tidak ada nama yang mengirim. dan ini membuat bingung siapa gurunya😅. Makanya saya kasih bintang 4 dulu. Terima kasih",4,POSITIVE,,,,,,,,63,"Terimakasih sudah menyediakan aplikasi ini untuk kami belajar. Tolong di tanggapi ya GC. Untuk saat membuka pelajaran yang ada, tolong di beri nama guru / akun yang memberi tugas tersebut. Semisal Ada tugas Matematika yang di kirim ke kelas, saat di muncul tugas tidak ada nama yang mengirim. dan ini membuat bingung siapa gurunya😅. Makanya saya kasih bintang 4 dulu. Terima kasih",4,POSITIVE
64,"apk nya bagus tapi sering ngebuk,buk nya benar benar sangat meresahkan dan sangat menganggu,pas lagi enak enak nya pus rank malah ada notif tugas tolong segara di benarkan terimkasih",1,NEGATIVE,,,,,,,,64,"apk nya bagus tapi sering ngebuk,buk nya benar benar sangat meresahkan dan sangat menganggu,pas lagi enak enak nya pus rank malah ada notif tugas tolong segara di benarkan terimkasih",1,NEGATIVE
65,Benci Ama Tugas 😤💔 Awokwokwowok 🗿🤙🏻,1,NEGATIVE,,,,,,,,65,Benci Ama Tugas 😤💔 Awokwokwowok 🗿🤙🏻,1,NEGATIVE
66,Goblok... Gabisa ngirim tugas asu babi anjing,1,NEGATIVE,,,,,,,,66,Goblok... Gabisa ngirim tugas asu babi anjing,1,NEGATIVE
67,Gara gara nih apk jadwal nonton anime jadi berkurang 😠😠😠😠😠!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,NEGATIVE,,,,,,,,67,Gara gara nih apk jadwal nonton anime jadi berkurang 😠😠😠😠😠!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,NEGATIVE
68,"Bagus membantu tugas turun ke kita,tapi knp banyak yg komen ""aplikasi ini baguss!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!apk bikin tugas numpuk""yg ninggalin tugas siapa?elu kan!knp marah""sama apk nya aneh lu🗿",5,POSITIVE,,,,,,,,68,"Bagus membantu tugas turun ke kita,tapi knp banyak yg komen ""aplikasi ini baguss!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!apk bikin tugas numpuk""yg ninggalin tugas siapa?elu kan!knp marah""sama apk nya aneh lu🗿",5,POSITIVE
69,Gegara lu gw jadi pusing,1,NEGATIVE,,,,,,,,69,Gegara lu gw jadi pusing,1,NEGATIVE
70,Terimakasih sudah mau bemberi tauku soal tugas 😇🏘️📩😀😍😀,5,POSITIVE,,,,,,,,70,Terimakasih sudah mau bemberi tauku soal tugas 😇🏘️📩😀😍😀,5,POSITIVE
71,"Saya mau mengirim tugas,mengapa Classroom tulisan ny 'anda tidak dapat mengirim tugas' tolong di perbaiki lagi yh!!",1,NEGATIVE,,,,,,,,71,"Saya mau mengirim tugas,mengapa Classroom tulisan ny 'anda tidak dapat mengirim tugas' tolong di perbaiki lagi yh!!",1,NEGATIVE
72,Apk ny bagus tapi apk ini membuat tugas saya menumpuk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Aku pusing tugas banyak,5,POSITIVE,,,,,,,,72,Apk ny bagus tapi apk ini membuat tugas saya menumpuk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Aku pusing tugas banyak,5,POSITIVE
73,Aplikasi ini bagus bangett!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Tapi boong hahay pale pale jing,1,NEGATIVE,,,,,,,,73,Aplikasi ini bagus bangett!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Tapi boong hahay pale pale jing,1,NEGATIVE
74,Guru suka spam tugas🗿,1,NEGATIVE,,,,,,,,74,Guru suka spam tugas🗿,1,NEGATIVE
75,Sangat membantu,5,POSITIVE,,,,,,,,75,Sangat membantu,5,POSITIVE
76,Sangat membantu,1,NEGATIVE,,,,,,,,76,Sangat membantu,1,NEGATIVE
77,Sangat membantu,4,POSITIVE,,,,,,,,77,Sangat membantu,4,POSITIVE
78,Sangat membantu,5,POSITIVE,,,,,,,,78,Sangat membantu,5,POSITIVE
79,Sangat membantu,5,POSITIVE,,,,,,,,79,Sangat membantu,5,POSITIVE
80,"Kenapa stak di 99% pake wifi sinyal bagus, pake kuota masih banyak tapi kenapa gk nyampe 100%,kenapa ini?????",1,NEGATIVE,,,,,,,,80,"Kenapa stak di 99% pake wifi sinyal bagus, pake kuota masih banyak tapi kenapa gk nyampe 100%,kenapa ini?????",1,NEGATIVE
81,Tugasnny keren bet!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!keren bikin orng pusing😌💔,2,NEGATIVE,,,,,,,,81,Tugasnny keren bet!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!keren bikin orng pusing😌💔,2,NEGATIVE
82,Sangat membantu,5,POSITIVE,,,,,,,,82,Sangat membantu,5,POSITIVE
83,Karna suka error,2,NEGATIVE,,,,,,,,83,Karna suka error,2,NEGATIVE
84,Woi jangan kasih gw notip banyak² pusing gw,5,POSITIVE,,,,,,,,84,Woi jangan kasih gw notip banyak² pusing gw,5,POSITIVE
85,"Aplikasi nya agak menyusahkan sekarang Masa kalo mau kirim foto harus nunggu lama banget , apalagi kalo tugas nya di jam , itu akan merepotkan ,saran saya di perbaiki lagi agar kami para pelajar , bisa di permudahkan , bukan malah mempersulit kami, kami bisa strees!!!",1,NEGATIVE,,,,,,,,85,"Aplikasi nya agak menyusahkan sekarang Masa kalo mau kirim foto harus nunggu lama banget , apalagi kalo tugas nya di jam , itu akan merepotkan ,saran saya di perbaiki lagi agar kami para pelajar , bisa di permudahkan , bukan malah mempersulit kami, kami bisa strees!!!",1,NEGATIVE
86,"Saya tidak suka belajar, tapi boong!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!:!!!!!!!!!!!!!!!!!!",5,POSITIVE,,,,,,,,86,"Saya tidak suka belajar, tapi boong!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!:!!!!!!!!!!!!!!!!!!",5,POSITIVE
87,Bukan era loh lagi,1,NEGATIVE,,,,,,,,87,Bukan era loh lagi,1,NEGATIVE
88,NOTIFKASI TIDAK MUNCUL MEMBUAT SAYA TELAT ABSEN,1,NEGATIVE,,,,,,,,88,NOTIFKASI TIDAK MUNCUL MEMBUAT SAYA TELAT ABSEN,1,NEGATIVE
89,"buat guru"" nih ye jan ngespam tugas ajg",1,NEGATIVE,,,,,,,,89,"buat guru"" nih ye jan ngespam tugas ajg",1,NEGATIVE
90,dasar soal meresahkan😩,4,POSITIVE,,,,,,,,90,dasar soal meresahkan😩,4,POSITIVE
91,Gajelas ajg masa nyuruh nyuruh mulu kerjaannya cape ajg disuruh suruh,2,NEGATIVE,,,,,,,,91,Gajelas ajg masa nyuruh nyuruh mulu kerjaannya cape ajg disuruh suruh,2,NEGATIVE
