NEGATIVE	Buriq ajg setiap bangun notip tugas mulu Kon tolong di hapus bug nya ya ngen
NEGATIVE	Aplikasinya bagus. namun masih banyak bug nya seperti kadang muncul notifikasi tugas, padahal aplikasi tidak di pakai sama sekali namun banyak notifikasi tugas yang muncul dan membuat kesal. Mohon di benarkan bug nya agar tidak muncul notifikasi tugas lagi, saya kasih bintang dua dulu, kalo sudah tidak ada notifikasi tugas lagi saya berikan bintang lima.
POSITIVE	Aplikasi ini sangat bagus dan bisa membuat berkembang dalam suatu pelajaran dan dapat berkomunikasi dengan baik. Saya dengan senang hati sekaligus menghibur para pelajar , saya hanya ingin memastikan bahwa kalau apk sangat membantu dalam meningkatkan prestasi belajar .. Terimakasih kepada yang membuat kan apk ini . Untuk para siswa SEKALIAN sebaiknya kalian segera mendownload apk ini . Jangan Ragu ketika tidak ada yg menerimanya.. Semoga beruntung . ;) . Selamat belajar:)
NEGATIVE	Cape gw di spam ama guru dri apk ini asw lah
NEGATIVE	Kenapa selalu waktu saya sedang santai tiba tiba muncul notifikasi tugas. Semoga cepat di perbaiki bug ini agar guru saya tidak mengirimkan tugas lagi
POSITIVE	Guru Stress ngasih Tugas ga ngotack bunyi notif mulu aowkwkkwk
POSITIVE	Bagus bgt gcrnnya sya jadi sukaaaa
POSITIVE	Terimakasih banyak atas aplikasi nya, ini sangat membantu pembelajaran saya terlebih lagi saat ini pembelajaran daring,, Terimakasih sekali lagi ????
NEGATIVE	tll banyak tugas
POSITIVE	Assalamualaikum...perkenalkan saya Aghnia saya menggunakan apk ini untuk belajar kls 7 (SMP) apknya sangat bagus!!!dan membantu saya lebih mudah untuk belajar online di masa pandemi saat ini...terimakasih...sukses selalu untuk GOOGLE KELAS...????????????
NEGATIVE	Nambah pikiran
NEGATIVE	Aplikasi keramat
POSITIVE	Apknya bagus Bisa liat brainly ehe
POSITIVE	Terimakasih sudah menyediakan aplikasi ini untuk kami belajar. Tolong di tanggapi ya GC. Untuk saat membuka pelajaran yang ada, tolong di beri nama guru / akun yang memberi tugas tersebut. Semisal Ada tugas Matematika yang di kirim ke kelas, saat di muncul tugas tidak ada nama yang mengirim. dan ini membuat bingung siapa gurunya??. Makanya saya kasih bintang 4 dulu. Terima kasih
NEGATIVE	apk nya bagus tapi sering ngebuk,buk nya benar benar sangat meresahkan dan sangat menganggu,pas lagi enak enak nya pus rank malah ada notif tugas tolong segara di benarkan terimkasih
NEGATIVE	Benci Ama Tugas ???? Awokwokwowok ??????
NEGATIVE	Goblok... Gabisa ngirim tugas asu babi anjing
NEGATIVE	Gara gara nih apk jadwal nonton anime jadi berkurang ??????????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
POSITIVE	Bagus membantu tugas turun ke kita,tapi knp banyak yg komen "aplikasi ini baguss!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!apk bikin tugas numpuk"yg ninggalin tugas siapa?elu kan!knp marah"sama apk nya aneh lu??
NEGATIVE	Gegara lu gw jadi pusing
POSITIVE	Terimakasih sudah mau bemberi tauku soal tugas ?????????????
NEGATIVE	Saya mau mengirim tugas,mengapa Classroom tulisan ny 'anda tidak dapat mengirim tugas' tolong di perbaiki lagi yh!!
POSITIVE	Apk ny bagus tapi apk ini membuat tugas saya menumpuk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Aku pusing tugas banyak
NEGATIVE	Aplikasi ini bagus bangett!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Tapi boong hahay pale pale jing
NEGATIVE	Guru suka spam tugas??
POSITIVE	Sangat membantu
NEGATIVE	Sangat membantu
POSITIVE	Sangat membantu
POSITIVE	Sangat membantu
POSITIVE	Sangat membantu
NEGATIVE	Kenapa stak di 99% pake wifi sinyal bagus, pake kuota masih banyak tapi kenapa gk nyampe 100%,kenapa ini?????
NEGATIVE	Tugasnny keren bet!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!keren bikin orng pusing????
POSITIVE	Sangat membantu
NEGATIVE	Karna suka error
POSITIVE	Woi jangan kasih gw notip banyak² pusing gw
NEGATIVE	Aplikasi nya agak menyusahkan sekarang Masa kalo mau kirim foto harus nunggu lama banget , apalagi kalo tugas nya di jam , itu akan merepotkan ,saran saya di perbaiki lagi agar kami para pelajar , bisa di permudahkan , bukan malah mempersulit kami, kami bisa strees!!!
POSITIVE	Saya tidak suka belajar, tapi boong!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!:!!!!!!!!!!!!!!!!!!
NEGATIVE	Bukan era loh lagi
NEGATIVE	NOTIFKASI TIDAK MUNCUL MEMBUAT SAYA TELAT ABSEN
NEGATIVE	buat guru" nih ye jan ngespam tugas ajg
POSITIVE	dasar soal meresahkan??
NEGATIVE	Gajelas ajg masa nyuruh nyuruh mulu kerjaannya cape ajg disuruh suruh
POSITIVE	Hallo! Sebelumnya saya berterima kasih kepada google kelas karena dapat melancarkan sekolah daring di tengah pandemi seperti ini. Namun akhir akhir ini mengapa sering kali error, saya sangat kesusahan dalam mengirimkan tugas, sehingga sering sekali saya terlambat mengumpulkannya, padahal wifi maupun kuota saya full. Mohon perbaiki lagi agar tidak terjadi hal-hal seperti ini. Terima kasih. ??
POSITIVE	Apk-nya bagus, cuma kenapa suka loading lama sih, bikin gregetan aja, saya itu mau kirim tugs cuma gak bisa-bisa mulu karena loading nya lama, udah paketan kenceng, WiFi kenceng, ehhhhh sama aja gak bisa, sampah emang. Tapi itu sih memang tergantung pada WIFI ataupun Internet yg kita pakai itu lemot atau tidak. Ya untuk apk ini lumayan bagus
POSITIVE	bagus aja sih
NEGATIVE	Aplikasi Gak Guna
POSITIVE	Mantap bos ku
NEGATIVE	Kenapa semenjak diupdate malah jadi kaya gini sih, mau ngirim file foto aja susah banget, nunggunya lama, jadinya saya sering terlambat mengumpulkan tugas, padahal ukuran file kecil, sinyal bagus, kuota banyak, kenapa gk bisa, mohon untuk diperbaiki
NEGATIVE	meresahkan
NEGATIVE	Sehabis di Update malah makin buruk, aplikasi nggak bisa dibuka sama sekali, loading terus berjam jam, Aplikasi dan kinerja developer sangat buruk . Dan sering terjadi bug baik saat mengirim tugas maupun mengisi absen, kolom komentar dan tombol kirim bertindihan.
NEGATIVE	BAGUS PALA LU PEYANG?! TUGAS GW JDI NUMPUK SU??
NEGATIVE	Apk gak guna
POSITIVE	Sangat berguna
NEGATIVE	Wih mengerikan ??
POSITIVE	Sangat berguna??????
POSITIVE	Sangat berguna
NEGATIVE	Sial aku bosan Belajar onlen
NEGATIVE	Buruk banget makin lama masa akun google masih bisa masa ga bisa ngirim pekerjaan malah error' terus lagi hadeh di benerin lagi dong jangan kebanyakan update kalau masih bellum bener tolong di benerkan lagi pihak Google
POSITIVE	Nge bug tiap pagi
NEGATIVE	gampang telat, selalu ada tulisan tidak dapat melampirkan drif, kamera selalu blur padahal sudah pas tapi aku kasih bintang 1 seharusnya klau bisa bintang 0 aja?????????? pokok nya jelek banget nyesel deh??????
NEGATIVE	Gak bisa di buka
NEGATIVE	Bikin beban aja
POSITIVE	sangat membantu
NEGATIVE	Kenapa saat mengirim tugas tidak bisa ya??? Gara-gara itu Saya belum mendapatkan nilai tugas biologi Saya, Karena nilai ini menyangkut kelulusan kelas 3 SMA. Jika tetap tidak bisa mengirim tugas bisa gawat Saya. UNTUK DEVELOPER TOLONG DIBACA YA DAN DIPERBAIKI SEGERA !!!
NEGATIVE	Halo, saya mohon apk ny di perbaiki lagi di karenakan pada saat saya mau mengirim tugas, itu lambat banget upload ny apalagi untuk tugas video. Untuk notifikasi google classroom ini juga sangat lambat, kadang pas sudah selesai tenggat absen ny baru ad notifikasi nya dan juga kadang klo saya ngirim banyak foto tugas tombol untuk mengirim ny nge bug gt jdi agak susah untuk mengirim tugas. Tolong di perhatikan lagi ????
POSITIVE	Ninggalin jejak aja dulu, udah pake dari awal masuk kelas 10 ingat sekali tanggal 20 juli 2020, sampai sekarang aplikasi ini satu satunya aplikasi edukasi yg dipakai sekolah saya. Selama setahun make aplikasi ini tuh enak enak aja. UX nya simple, UI nya gak bikin bosen. Cuma makin kesini kok upload file kecil aja lama banget, atau karena aplikasinya sudah terlalu berat maka butuh di reset datanya atau ada alasan lain?.
NEGATIVE	Lemot banget puuuuuollllllll
NEGATIVE	Apliaksi nya rusak
NEGATIVE	kalo ada notif tugas pasti yg tugas pengen deadline trus pas upload file / gambar, vidio lama bgt padahl udh pake kuota udh pake wifi tetep aja lama
NEGATIVE	Loading untuk membuka tugas siswa sangat lama, bahkan sering error, pdhl pake wifi. Berikan fitur untuk bs download semua tugas siswa sekaligus tanpa perlu membuka 1per1 (Krn loading yg terlalu lama). 1tugas min 1mnt. Kl ada 200 siswa, brp lama untuk proses loading sj...
NEGATIVE	Apk kurang ajar
NEGATIVE	Maaf sebelumnya aku kasih bintang satu,ini kenapa gabisa di perbarui ya padahal yang lain bisa,kira"yang ang salah apnya ya??
POSITIVE	Aplikasinya lemot pas ngirim Vidio padahal koneksi udah bagus, oh ya over all notif yg masuk gk kayak ke banyakan pengguna cuma sering ada tugas Vidio aja gitu kalo misal ada yg nyuruh tugas Vidio tolong ya google kelas room jangan di bolehin memo saya anjelok ini
NEGATIVE	Tolong perbaiki knapa harus ad tugaas
NEGATIVE	Banyak update anj lo hp gw kentang memekk
POSITIVE	Tambahin tema gelap dong
POSITIVE	Seru main ini
POSITIVE	Haii , banyak orang yang ngasi bintang 1 regara banyak tugas. Hey coba pikir sekali lagi, kalo kalian stress gara" tugas ya salahkan guru kalian lah, jangan apknya. Sampe segitunya kalian kasi rating bintang 1, tolong hargai usaha pembuat apk ini. Jujur, aku kesel banget liat komentar" yang begituan
POSITIVE	Ini bagus tapi saya kasih bintang 4 aja karna kl udah selesai mengerjakan tugas ya tapi masih harus di kerjakan setiap hari mohon di berbaiki terimakasih????
NEGATIVE	Tolong lah notifikasi itu diperbaiki, sungguh merepotkan dan menyusahkan, tugas dan materi terlewatkan jadinya????, saya pelajar yang capek harus bagaimana dengan classroom ini, apalagi aplikasi ini sering "down"????
NEGATIVE	Mohon maaf sebelumnya, pada saat update sebelumnya pada aplikasi ini normal normal saja dan tidak ada masalah error sama sekali, yang membedakannya adalah saat saya membuka video melalui google drive, itu kenapa tdk bisa daripada minggu sebelumnya? Mohon harap diperbaiki lagi, terimakasih!!!
POSITIVE	Singkat cerita tadi ada notifikasi telah dinilai tugasnya. Lalu saya keluar dari apk, dan tiba-tiba bbrp notifikasi masuk..itu membuat saya kaget! Saya click notif tsbt dan ternyata berisi tugas, materi, dan penilaian yang sudah sedikit lama. Ini menjengkelkan! Membuat degup jantung saya semacam diskotik saja jadinya-
POSITIVE	Beri keringanan
NEGATIVE	Apk Kon bikin stres babi
POSITIVE	Terimakasih google classroom sangat membantu!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Kenapa masih lihat di bawah kan udah di bilang sangat membantu
POSITIVE	gws iya yang Komentar "aplikasi jelek banget!!!!!" anda bocah pansos komentar youTube sok sok an nanti nangis belajar dulu classroom gak pada punya otak komen itu semua pansos "aplikasi jelek banget!!!" dari 2020-2021 gak kapok tod coba aja nanti developer ngamuk gak bisa komen eluh pada "classroom ini aplikasi lumayan tolong di perbaiki internet dan pengiriman tugas agar tidak banyak protes", Hopefully it's useful, the developer, read my comment, thank you.
POSITIVE	Per ah visa Dan lancar , go skeg bermasalah
NEGATIVE	Kok kaya ada yg salah y . Tadi jaringan saya bagus. setelah saya download aplikasi ini kok tiba tiba jaringan saya lelet y . Terus saya matikan hp saya . Saya hidup kan lagi jaringan saya porji tapi kok lelet y . mohon update lagi aplikasinya . Saya kasih tambahan bintang
NEGATIVE	Tugs nya kasih limit woy, tugas gua gak ngotak ngasihnya
POSITIVE	Sudah bagus, dan saya juga suka tampilan nya. Tapi saya punya keluhan, setiap saya upload vidio dia cuman muter-muter doang nggk selesai² padahal jaringan nya bagus. Jadi untuk update berikutnya tolong diperbaiki ya, semoga keluhan saya ini direspon pihak developer classroom. Terimakasih itu saja!
NEGATIVE	Hilangkan notif tugas dari gcr
NEGATIVE	Tolong opsi "terlambat di serahkan" di hapus, karna sangat kecewa ketika telat 1 detik aja menyerahkan tugas opsi itu muncul, karna tidak ada keterangan seberapa telat menyerahkan tugasnya. Apalagi kalau jaringan kurang bagus dan tugas yg di upload berukuran besar jadi memakan waktu lama. Dan ketika upload tugas tolong di kasih detail berapa % data yg sudah ter upload jangan hanya layar yg berubah jadi agak abu abu(buram). Terima kasih
NEGATIVE	Ini apk nya gk jelas udah dikir tugas nya tpi malah jawabannya tugas tidak dikirim tolong lah diperbaiki dengan baik percuma diaupdte tpi malah tambah gk jelas..
NEGATIVE	hallo, ini bagaimana ya setiap saya mau mengumpulkan tugas upload lama banget, padahal jaringan saya baik baik saja, dan abis itu saya upload memakai hotspot masa kena nya banyak banget, padahal ukuran MB nya cuman 10. Mohon diupdate untuk lebih baik lagi, Jika sudah bagus saya akan menambahkan bintang nya, Terima Kasih.
POSITIVE	Semuanya sih bagus bagus aja, tapi tolong pas dibagian notifikasi diperbaiki lagi! Kadang saya nerima notifikasi dari guru kadang juga engga dapat, setelah saya cek ternyata ada tugas baru.Mungkin dari segi itu bisa diperbaiki lagi, biar mudah juga untuk ngecek hari ini diberikan tugas apa aja lewat notifikasi dalam Gc!.
NEGATIVE	Apk nya bagus,tapi masih sering ngebug tiba" ada notif tugas dari guru jam 1 malam.Tolong developer segera diperbaiki bug ini????.
POSITIVE	Google minta tolong perbaiki bug di aplikasi classroom dunk, setiap mau membuka lampiran tugas selalu tidak bisa, disuruh menginstall aplikasi dulu utk membuka pdhl udah diinstal..please google
POSITIVE	MASA NGIRIM VIDEO GAK BISAA...:(
NEGATIVE	Asw upload foto Ama video aja lamanya semalam asw
POSITIVE	Aplikasi nya sangat bagus banget, Tiap kali dengar notif dari GC saya sangat senang jujur,..!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
NEGATIVE	Bagus kok apk nya,bisa buat belajar dan ngerjain tugas jdi lebih mudah,dan terjamin kualitas dri apk ini,mantap lah
NEGATIVE	Agak baik. Tapi ini kenapa punya ku kok gak bisa loging terus, gak bisa ku perbarui tapi kok gak mau kenapa. Tolong
NEGATIVE	Banyak bug,saat saya baru bangun tidur, notif di hp saya tugas mulu,tolong fix bug ini, agar tidak terjadi lagi??
NEGATIVE	Aplikasi ini membuat saya teraniaya mohon diperbaiki bug apk ini jangan perbanyak motif dari guru tolong satu apk satu grup biar semua murid di dunia aman dari tugas guru jahannam
NEGATIVE	MAU KIRIM TUGAS VIDEO, LOADING NYA LAMA BNGTTTTT, UDAH NUNGGU LAMA BNGT TETEP AJA KGA KE APLOUD, SOLUSINYA DONG, KLO BISA BENERIN LAGI, SAYA MAU APLOUD VIDEO JADI TERTUNDA KAN JADINYAAAA!!!!!!!!!!!!!!!!!!!!!!!!!!!!! APLIKASI DAJJAL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
NEGATIVE	App menyiksa murid ??
NEGATIVE	SAYA MALAS BELAJAR
NEGATIVE	Ini kenapa tdk bisa mengirim tugas melalui upload file, masa iya harus buka google classroom web untuk mengirimkan tugas yng sudah selesai. Trs fungsinya ada aplikasi ni apa? Buat liat tugas yang makin lama makin banyak doang? Please perbaiki masalah ini
NEGATIVE	Halo min, biasa saya ga pernah ngeluh soal pelayanan goggle Classroom ini cuma hari ini kenapa ya saya mau serahkan tugas keguru ga bisa. Bahkan saya udah coba dari pagi sampe sekarang tetep gabisa. Padahal kouta sama wifi saya penuh loh. Tolong min segera diperbaiki ya kalo engga saya telat kumpul:( saya emang suka ngeluh kalo banyak tugas tapi saya tetep usahain buat kerjain dan kumpulin tepat waktu. Sekali lagi tolong segera diperbaiki ya min. Terima kasih.
NEGATIVE	Tolong aktif kan notifnya dan sediakan mode gelap
NEGATIVE	Saya cukup diresahkan tanpa nya notifikasi prioritas dan benar benar kurang puas dengan fitur yang tersedia pada aplikasi Classroom. Saya harap akan ada fitur dimana ada tambahan absensi bawaan pada classroom dan HARUS ADA NOTIFIKASI PRIORITAS. Dikarenakan hal ini saya dinggap tidak hadir padahal saya 24/7 memandangi handphone. Mohon dengarkan permintaan ini agar segera di proses. Mungkin ada juga orang sama dengan saya. Tolong, ini demi kebaikan generasi kedepan nya sampai pandemi ini berakhir
NEGATIVE	Keluar sendiri teruuuuuusssss.....
NEGATIVE	Tolong di perbaiki notifikasi nya gw jadi gak bisa nonton anime karena gw gak tenang notifikasi teruss jadi tolong di fixs bug nya terima kasih...
POSITIVE	Untuk devoloper, tolong dibuat persentase loading untuk meng-upload tugas, saya suka lupa karena menunggu load tugas video tanpa persentase loading nya
POSITIVE	Saran buat GC, supaya buat tanda hijau atau lampu hijau buat Guru, kalau Guru itu lagi ON, karena terkadang murid menunggu adanya absen dan materi atau tugas lama banget, jika diberi lampu hijau gitu kan enak kalau murid tau gurunya lagi ON di kelas tersebut, supaya murid tidak menunggu terlalu lama.
POSITIVE	Hadeh.... tugas numpuk
POSITIVE	Aku sukaaaaaaaaaaaaaaaaaaaaaaaaaaaaa bangeeeeeeet
NEGATIVE	Aplikasi nya sangat buruk, setiap hari ada bug, yg dimana setiap saya lagi santai tiba-tiba selalu banyak notifikasi tugas yang tidak jelas, tolong hapus aplikasi ini saja, terimakasih :)
NEGATIVE	Makasih karane sdh kasih banyak pr
NEGATIVE	tolong perbaiki min saya mendapat bug yang sangat merugikan kan saya lagi tidur tiba tiba dispam tugas tolong diperbaiki bug nya agar saya tidak dikasih tugas waktu tdr
POSITIVE	Notifikasinya lelet.
POSITIVE	Bagus bnget aplikasih nya bisa absen
NEGATIVE	Gcr asu,ngga guna tolol
NEGATIVE	Saya kasih dua dulu, saya tdk prnah menilai aplikasi², tp sy benar² ingin memberi tahu kalau google classroom ini tdk bekerja dgn baik, saya dan teman² saya tidak bisa mengirim tugas, pdhal waktu deadline nya hanya sebentar, saya hampir kehilangan nilai jika saja tdk cepat² mengkonfirmasi pd guru, jd saya harap segera periksa dan perbaiki kmbali sistemnya agar tdk trjadi hal sperti ini lg
POSITIVE	bagus sekali
POSITIVE	sngat membantu
POSITIVE	Buat yang bilang aplikasinya bikin kalian pusing karena banyak tugas, itu salah guru kalian yang ngasih tugas bukan salah aplikasinya, aplikasi bagus banget bisa lihat tugas yang terlambat dikumpul, ditugaskan (belum dikerjakan), dan yang tidak ada batas waktu ??
NEGATIVE	Meresahkan saja????
POSITIVE	bagus sekali
NEGATIVE	Saya lagi nyantai menikmati hidup tapi muncul notif tugas tolong dong perbaiki bug nya dong!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!???!!!!!?!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! N. Nnnn!!!!!
NEGATIVE	Setelah di update jadi error terus Kuota masih banyak tapi saat di refresh Tulisannya "Maaf terjadi masalah" Lah alah tugas juga nggak bisa masuk????
NEGATIVE	Tolong di perbaiki fiturnya masak ngirim tugas ngeleg sedangkan gua download data ml dari 0 gk ngeleg memang bebal yg buat aplikasi ini.memang aplikasi ini bagus tapi lebih bagus di hapus saja #ucap pemuda yang gak suka tugas online
NEGATIVE	Maaf ya ku kasih 1 bintang aja (kalo bisa sih ga aku kasih bintang ) Aplikasi ini bkan untuk mempermudah belajar malah menghambat belajar, Mulai dari notifikasi kadang tidak keluar padahal tugas sudah diberikan sudah ada. Dan terlebih lagi dalam proses pengupload an gambar nya terlalu lama dan ada juga sudah menunggu lama trus tiba tiba tidak bisa di kirim Saya sarankan kalo tidak bisa bikin aplikasi belajar, mending gausah bikin deh. MEMPERSULIT AJA WhatsApp aja udah cukup.
NEGATIVE	G*BLOK eror terus asw
